id,uuid,api_feed_id,source_name,source_uuid,title,description,context,source_url,image_url,author,published_at,symbols,sectors,industries,report,created_at,update_at,deleted_at
11,d9c843ff-b6c0-409a-8810-bbbd14324a32,1,InsideEVs,https://insideevs.com/news/708712/lucid-air-pure-price-cut/,"The Lucid Air Pure Just Got A $7,500 Price Cut","It may not qualify for a $7,500 credit from the federal government, but Lucid's covering the gap.","The Lucid Air Pure is too expensive to qualify for the revised $7500 federal tax credit. The price cap for qualifying sedans is $55,000, and the Lucid Air Pure RWD model started at $77,400. But Lucid announced a price cut Thursday, dropping the entrance cost of the luxury sedan to $69,900.",https://insideevs.com/news/708712/lucid-air-pure-price-cut/,https://cdn.motor1.com/images/mgl/wlp6Km/s6/2024-lucid-air-pure-rwd.jpg,Mack Hogan,2024-02-15 14:00:00+00:00,,,,FALSE,2024-02-16 02:06:27.202760+00:00,,
12,e2b40f0b-81f4-4191-b7ea-c0f21ef620c8,1,InsideEVs,https://insideevs.com/news/708706/2024-lancia-ypsilon-ev/,The 2024 Ypsilon Is Lancia's First New Car In 13 Years,The troubled Italian brand signals rebirth with its first-ever EV.,"We never thought this day would ever come again, but here is a new Lancia. Stellantis has pledged to keep all 14 (fourteen!) brands in its vast portfolio following the FCA-PSA merger. That means the Italian marque is getting a new chance to repair its severely damaged brand image. The 2024 Ypsilon kicks off a long overdue rebirth.",https://insideevs.com/news/708706/2024-lancia-ypsilon-ev/,https://cdn.motor1.com/images/mgl/7Zvxp6/s6/lancia-ypsilon-edizione-limitata-cassina-2024.jpg,Adrian Padeanu,2024-02-14 21:30:56+00:00,,,,FALSE,2024-02-16 02:06:27.478662+00:00,,
13,95cc3846-dd06-44ca-a0f9-6ceb636d2944,1,InsideEVs,https://insideevs.com/news/708703/france-electric-car-100-leasing-program/,French Government's €100-A-Month EV Leasing Plan Falls Victim To Its Own Success,Demand far outstripped supply after an affordable EV leasing program received an overwhelming response.,"In December 2023, the French government kicked off an ambitious program to encourage low-income households to buy electric cars and to broaden the appeal of EVs.&nbsp;",https://insideevs.com/news/708703/france-electric-car-100-leasing-program/,https://cdn.motor1.com/images/mgl/L3jQxW/s6/renault-scenic-e-tech-electric.jpg,Suvrat Kothari,2024-02-14 20:41:50+00:00,,,,FALSE,2024-02-16 02:06:27.748502+00:00,,
14,ff48b47f-a74f-4e49-b1f1-e7047fa21d0f,1,InsideEVs,https://insideevs.com/news/708689/tesla-model3-lr-more-expensive/,Tesla Model 3 Long Range Gets Second Price Hike This Month,And you'll have to wait longer to get it.,Tesla has increased the price of the Tesla Model 3 Long Range AWD by $500. It's the second time Tesla has hiked the Long Range's price this month.,https://insideevs.com/news/708689/tesla-model3-lr-more-expensive/,https://cdn.motor1.com/images/mgl/zxQYRq/s6/2024-tesla-model-3-highland.jpg,Mark Kane,2024-02-14 19:34:28+00:00,,,,FALSE,2024-02-16 02:06:28.080346+00:00,,
15,556f8b30-7a5d-4928-a928-e264adfaff14,1,InsideEVs,https://insideevs.com/features/708584/vw-first-ev-elektro-bus-battery-swap/,"Volkswagen’s First EV Came 50 Years Before The ID. Buzz, Battery Swapping Included",A fleet of converted T2 vans was created in the 1970s to explore alternative energy sources.,"The Volkswagen ID. Buzz is the German carmaker’s first mass-produced all-electric minivan, and it’s a pretty cool, modern nod to VW’s first-ever van–the iconic Type 2 Microbus, also known as the T1.",https://insideevs.com/features/708584/vw-first-ev-elektro-bus-battery-swap/,https://cdn.motor1.com/images/mgl/W8GOO3/s6/volkswagen-t2-elektro-bus.jpg,Iulian Dnistran,2024-02-14 16:00:23+00:00,,,,FALSE,2024-02-16 02:06:28.368873+00:00,,
16,1c476a38-5416-4844-9b16-dcad6e837ac6,1,InsideEVs,https://insideevs.com/news/708661/consumer-reports-electric-vehicle-experience/,"Lack Of Exposure, Experience Is Also Hurting EV Sales: Consumer Reports","Also on tap: Chrysler's new concept touts advanced but MIA battery tech, and yes, the Sony-Honda Afeela deal is still happening. ","I think every electric vehicle owner has had that ""a-ha"" moment; that instance when you just sort of get how everything works, when fear gives way to excitement about the advantages of moving on from gasoline, when everything clicks. Sometimes that happens behind the wheel. Other times, it happens when someone you know and trust can show you the way. ",https://insideevs.com/news/708661/consumer-reports-electric-vehicle-experience/,https://cdn.motor1.com/images/mgl/wlpY3V/s6/critical-materials-hyundai-ioniq-6.jpg,Patrick George,2024-02-14 15:31:27+00:00,,,,FALSE,2024-02-16 02:06:28.650467+00:00,,
17,2c1628e2-0bb7-4413-b2a2-9cbec51c258f,1,InsideEVs,https://insideevs.com/news/708385/chademo-adapter-youtube-safety/,"There's A CHAdeMO To CCS Adapter, But I'm Not Sure I'd Use It","A Finnish YouTuber has an adapter that allows his CHAdeMO-equipped Nissan Leaf to charge at CCS DC fast-charging stations, but the CHAdeMO association isn't sure if this is safe. ","God bless CHAdeMO. It was the DC fast-charging plug shape that was poised to win the charger format wars, purely by being installed on the only EVs capable of fast charging in their day, the Nissan Leaf and Mitsubishi i-MiEV. Alas, it didn’t succeed. Most DC fast charging stations are now CCS only and will soon pivot to NACS. Most fast charging service providers have also announced that they’ll be sunsetting support for the CHAdeMO. Yet, the lack of support for CHAdeMO is a serious issue. Nissan still sells a brand new Leaf that can only DC fast charge via a CHAdeMO connector. In a CCS and NACS world, what does that mean for Leaf owners who want to fast charge?",https://insideevs.com/news/708385/chademo-adapter-youtube-safety/,https://cdn.motor1.com/images/mgl/3WvKrX/s6/chademo-youtube-dala-topshot.jpg,Kevin Williams,2024-02-14 15:00:53+00:00,,,,FALSE,2024-02-16 02:06:28.930940+00:00,,
18,4af5ba8c-efcd-488f-80a0-77abec9ab123,1,InsideEVs,https://insideevs.com/news/708566/porsche-electric-minivan-very-interesting-design-boss/,"A Porsche Luxury Electric Minivan Would Be “Very Interesting,” Says Design Boss",Ferrari made an SUV and now Porsche is thinking about making an electric minivan. Has the world gone crazy?,"Porsche made everybody mad when it introduced the first-generation Cayenne two decades ago, only to rake in profits from it and become bigger and better than ever. But the Cayenne–and the even more successful Macan that followed–are SUVs, and everybody knows SUVs are the silver bullet in today’s car market.",https://insideevs.com/news/708566/porsche-electric-minivan-very-interesting-design-boss/,https://cdn.motor1.com/images/mgl/yrp1k/s6/porsche-vision-renndients-electric-concept-interior-2.jpg,Iulian Dnistran,2024-02-14 14:00:04+00:00,,,,FALSE,2024-02-16 02:06:29.266546+00:00,,
19,62d086ed-8f0b-42b5-a0c8-c92a0aa84842,1,InsideEVs,https://insideevs.com/reviews/708872/lucid-gravity-walkaround-review/,The Lucid Gravity Team Offers A Detailed Walkaround Overview,We get the inside scoop on the upcoming electric SUV's design and UX details.,"Lucid Motors second offering, an electric SUV called Gravity, is expected to begin shipping to customers by the end of 2024. ",https://insideevs.com/reviews/708872/lucid-gravity-walkaround-review/,https://cdn.motor1.com/images/mgl/9my0vb/s6/lucid-gravity-at-the-beach.jpg,Tom Moloughney,2024-02-16 17:02:40+00:00,,,,FALSE,2024-02-16 17:13:06.888060+00:00,,
20,164731d0-6043-472e-89a1-4f888389ac13,1,InsideEVs,https://insideevs.com/news/708951/gm-ev-push-guided-by-the-consumer/,GM Wants To Go EV-Only By 2035. Its CEO Says The Push Will ‘Be Guided By The Consumer’,"2024 is “the year of execution” for GM, CEO Marry Barra said.","This year, General Motors will have to prove that it’s capable of ramping up production of its Ultium-based electric vehicle portfolio, which includes names like the Cadillac Lyriq, Chevrolet Equinox EV, and GMC Hummer EV.",https://insideevs.com/news/708951/gm-ev-push-guided-by-the-consumer/,https://cdn.motor1.com/images/mgl/jlxnw1/s6/gm-ceo-mary-barra-with-the-2024-chevrolet-equinox-ev.jpg,Iulian Dnistran,2024-02-16 16:01:58+00:00,,,,FALSE,2024-02-16 17:13:07.177123+00:00,,
